url,price_no_discount,price_with_discount
https://prima-coffee.com/equipment/fetco/b00828004,,499.99
https://prima-coffee.com/equipment/fetco/b014218bn2,,49.99
https://prima-coffee.com/equipment/fetco/b015280bn2,,49.99
https://prima-coffee.com/parts/yama/tca-3d-bottom,,22.00
https://prima-coffee.com/parts/yama/tca-3d-top,,22.00
https://prima-coffee.com/parts/yama/tca-5d-bottom,,22.00
https://prima-coffee.com/parts/yama/tca-5d-top,,27.00
https://prima-coffee.com/equipment/ratio/r472-g-1-ratio-sp,,259.00
https://prima-coffee.com/equipment/specialty-turkish-coffee/stc-stand-x-single,,69.00
https://prima-coffee.com/equipment/voga/ground-control-cyclops-us-e-sp,,2500.00
https://prima-coffee.com/equipment/hatfields-london/ds-home-nitro-sp,,399.00
https://prima-coffee.com/equipment/timemore/70tdp008aa101-timem-sp,,20.00
https://prima-coffee.com/equipment/voga/grnd-cntrl-cyclps-voga-sp,,10900.00
https://prima-coffee.com/equipment/hario/hario-coffee-press,34.50,31.05
https://prima-coffee.com/equipment/hatfields-london/hld-0016-hatfi,,164.99
https://prima-coffee.com/equipment/prima-coffee/pcc-15-prima-bp,,263.99
https://prima-coffee.com/equipment/walkure/walkure-bayreuth,,109.00
https://prima-coffee.com/equipment/walkure/walkure-karlsbad,,89.00
https://prima-coffee.com/equipment/yield-design-co/gfr-clr,,84.99
https://prima-coffee.com/equipment/acaia/ao101-acaia,,950.00
https://prima-coffee.com/equipment/yama/bn1,,51.00
https://prima-coffee.com/equipment/kruve-inc/kvq1019-kr-in-pp,,12.99
https://prima-coffee.com/equipment/timemore/if11140026-timem-sp,,65.00
https://prima-coffee.com/equipment/kruve-inc/kvs2020-kr-in-sp,,14.99
https://prima-coffee.com/parts/voga/preventative-kit-voga-sp,,160.00
https://prima-coffee.com/parts/voga/starter-kit-voga-sp,,399.00
https://prima-coffee.com/equipment/optipure/180-80180,,59.00
